id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;district;max_floor
4606;680000;32.57;1;4;;;;;do zamieszkania;Wola;4
4607;749000;44.0;2;2;;balkon;;2023;do wykończenia;Praga-Południe;6
4608;530000;27.7;1;1;;;;;;Praga-Południe;3
4609;1400000;80.9;4;1;1400;ogródek, taras;;2002;do zamieszkania;Ochota;4
4610;770000;51.9;2;;;balkon;;2005;do zamieszkania;Praga-Południe;
4611;2390000;84.0;3;2;1380;balkon;;1962;do zamieszkania;Śródmieście;14
4612;4500000;59.34;2;3;1600;balkon;;;;Śródmieście;5
4613;3000000;97.55;2;2;1300;taras;garaż/miejsce parkingowe;2018;do zamieszkania;Mokotów;2
4614;1300000;73.29;4;1;1000;balkon;garaż/miejsce parkingowe;2022;;Ursynów;5
4615;1300000;73.29;4;1;1000;balkon;garaż/miejsce parkingowe;2022;;Ursynów;5
4616;2480000;152.0;3;8;1600;;garaż/miejsce parkingowe;2003;;Mokotów;8
4617;2900000;115.0;4;4;;;garaż/miejsce parkingowe;;;Mokotów;4
4618;630000;38.5;2;1;612;balkon;;1972;;Targówek;4
4619;780000;66.6;4;1;450;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Białołęka;2
4620;2085000;86.5;3;3;1150;balkon;;1938;do zamieszkania;Śródmieście;4
4621;747000;55.73;2;11;900;balkon;;1982;do zamieszkania;Bielany;15
4622;640000;29.09;1;0;;ogródek;garaż/miejsce parkingowe;2025;do wykończenia;Bielany;4
4623;850000;63.5;3;10;;;;;;Targówek;10
4624;695000;34.68;1;1;;ogródek;garaż/miejsce parkingowe;2025;;Bielany;4
4625;540000;26.5;1;8;450;;;1970;do zamieszkania;Wola;9
4626;1770000;77.0;3;;1100;;;;;Mokotów;
4627;2070000;90.0;3;11;;taras;garaż/miejsce parkingowe;;;Wola;24
4628;2500000;120.0;3;3;1200;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Wilanów;3
4629;1480000;55.0;2;3;700;balkon;garaż/miejsce parkingowe;2020;;Praga-Północ;5
4630;1220000;57.0;2;1;;balkon;garaż/miejsce parkingowe;2010;;Wilanów;4
4631;855500;45.0;2;0;;;;1952;;Mokotów;3
4632;2690000;127.25;4;3;1600;balkon, taras;;2008;do zamieszkania;Wilanów;4
4633;820000;46.86;2;3;;balkon;garaż/miejsce parkingowe;;do zamieszkania;Ursus;4
4634;760000;48.4;2;3;500;;;1956;do zamieszkania;Wola;3
4635;610000;36.1;2;6;399;balkon;;1979;do zamieszkania;Praga-Południe;6
4636;;44.0;2;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Białołęka;8
4637;635000;42.56;3;3;55;balkon;;2024;do wykończenia;Wawer;3
4638;990000;53.0;3;7;900;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Mokotów;7
