id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
10027;869 853 zł;37,55 m²;2;5/9;;balkon, ogródek;garaż/miejsce parkingowe;2025;;Służewiec, Mokotów, Warszawa, mazowieckie
10028;1 412 485 zł;66,85 m²;3;5/9;;balkon;garaż/miejsce parkingowe;2025;;Służewiec, Mokotów, Warszawa, mazowieckie
10029;829 900 zł;49,7 m²;2;5/12;1 000 zł;balkon;;1978;do remontu;ul. Zygmunta Noskowskiego, Służew, Mokotów, Warszawa, mazowieckie
10030;745 000 zł;20,11 m²;1;parter/2;470 zł;;;1945;do zamieszkania;ul. Kozia, Stare Miasto, Śródmieście, Warszawa, mazowieckie
10031;Zapytaj o cenę;60,37 m²;3;2/3;;balkon;garaż/miejsce parkingowe;2026;do wykończenia;ul. Legnicka, Skorosze, Ursus, Warszawa, mazowieckie
10032;770 000 zł;46 m²;2;parter/11;750 zł;balkon;;1978;;ul. Batuty, Służew, Mokotów, Warszawa, mazowieckie
10033;769 000 zł;47,8 m²;2;parter/4;;balkon;;brak informacji;;ul. Edwarda Warchałowskiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie
10034;799 900 zł;48 m²;2;1/10;600 zł;balkon;;1970;do zamieszkania;ul. Bełdan, Służew, Mokotów, Warszawa, mazowieckie
10035;681 000 zł;44,48 m²;2;1/6;;;garaż/miejsce parkingowe;2026;do wykończenia;Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie
10036;940 000 zł;57,4 m²;3;2/3;950 zł;balkon;;1948;do remontu;ul. Nowolipie, Nowolipki, Wola, Warszawa, mazowieckie
10037;590 000 zł;26,17 m²;1;5/7;403 zł;;;1969;do zamieszkania;ul. Okrąg, Solec, Śródmieście, Warszawa, mazowieckie
10038;1 220 000 zł;72 m²;3;1/3;1 124 zł;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;ul. Stokłosy, Ursynów Północny, Ursynów, Warszawa, mazowieckie
10039;435 000 zł;24 m²;1;8/10;;balkon;;1970;do zamieszkania;ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
