id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
4024;899 000 zł;63,9 m²;2;3/4;950 zł;balkon;;1937;do remontu;ul. Dolna, Sielce, Mokotów, Warszawa, mazowieckie
4025;775 000 zł;42 m²;2;8/10;620 zł;balkon;garaż/miejsce parkingowe;1971;do zamieszkania;ul. Elbląska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
4026;2 499 000 zł;117 m²;3;4/6;;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie
4027;860 000 zł;55,04 m²;3;2/6;;taras;garaż/miejsce parkingowe;2024;do wykończenia;ul. Wieśniacza, Górce, Bemowo, Warszawa, mazowieckie
4028;775 000 zł;65,2 m²;4;parter/1;;taras;garaż/miejsce parkingowe;;do wykończenia;ul. Zasadowa, Nadwiśle, Wawer, Warszawa, mazowieckie
4029;899 900 zł;74,7 m²;3;4/4;1 100 zł;;garaż/miejsce parkingowe;1990;do remontu;ul. Mieczysława Wolfkego, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie
4030;575 000 zł;32 m²;2;2/15;430 zł;taras;garaż/miejsce parkingowe;1976;do zamieszkania;ul. Klaudyny, Marymont-Ruda, Bielany, Warszawa, mazowieckie
4032;595 000 zł;43,27 m²;2;2/2;560 zł;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;ul. Kartograficzna, Grodzisk, Białołęka, Warszawa, mazowieckie
4033;1 557 000 zł;67,7 m²;3;1/6;1 100 zł;balkon;garaż/miejsce parkingowe;2014;;Szczęśliwice, Ochota, Warszawa, mazowieckie
4034;1 650 000 zł;80,5 m²;3;5/13;980 zł;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;al. Aleja Wyścigowa, Służew, Mokotów, Warszawa, mazowieckie
4035;933 000 zł;46 m²;2;9;600 zł;balkon;;brak informacji;;al. Aleja Jana Pawła II 72, Muranów, Śródmieście, Warszawa, mazowieckie
4036;1 920 000 zł;74,47 m²;3;4/5;;;;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
4037;Zapytaj o cenę;49 m²;3;4/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie
4038;1 950 000 zł;73,08 m²;3;8/8;980 zł;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
4039;2 070 000 zł;84,2 m²;3;2/6;1 250 zł;taras;garaż/miejsce parkingowe;2009;do zamieszkania;Wrzeciono, Bielany, Warszawa, mazowieckie
4040;Zapytaj o cenę;65,19 m²;3;1/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie
4041;1 386 824 zł;60,56 m²;3;4;;;garaż/miejsce parkingowe;brak informacji;;Czyste, Wola, Warszawa, mazowieckie
4042;903 000 zł;42 m²;2;4/5;900 zł;;;1940;do remontu;Stary Mokotów, Mokotów, Warszawa, mazowieckie
4043;1 430 000 zł;69 m²;3;6/10;;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Natolin, Ursynów, Warszawa, mazowieckie
4044;1 065 200 zł;53,26 m²;2;4/4;815 zł;balkon;;1960;;Muranów, Śródmieście, Warszawa, mazowieckie
4045;1 080 000 zł;54 m²;2;2/6;440 zł;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;Natolin, Ursynów, Warszawa, mazowieckie
4046;1 764 000 zł;72 m²;3;5/10;700 zł;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;Stary Imielin, Ursynów, Warszawa, mazowieckie
4047;439 000 zł;30,5 m²;1;2/10;570 zł;ogródek;;1974;do remontu;ul. Michała Kleofasa Ogińskiego, Bródno, Targówek, Warszawa, mazowieckie
4048;920 000 zł;50,63 m²;2;parter/3;;balkon;;1960;do zamieszkania;Muranów, Śródmieście, Warszawa, mazowieckie
4049;819 000 zł;60 m²;3;parter/8;;;;1981;;Gocław, Praga-Południe, Warszawa, mazowieckie
4050;759 000 zł;47,86 m²;2;3/4;575 zł;balkon;;1959;do remontu;ul. Jurija Gagarina, Sielce, Mokotów, Warszawa, mazowieckie
4051;600 000 zł;38 m²;2;1/4;650 zł;balkon;;brak informacji;;Piaski, Bielany, Warszawa, mazowieckie
4052;990 000 zł;54,94 m²;2;1/10;600 zł;balkon, taras;;2008;do zamieszkania;ul. Górczewska 222, Górce, Bemowo, Warszawa, mazowieckie
4053;950 000 zł;56 m²;3;2/3;750 zł;balkon;garaż/miejsce parkingowe;2013;;ul. Powstańców Śląskich, Górce, Bemowo, Warszawa, mazowieckie
4054;832 000 zł;52 m²;2;2/6;950 zł;;garaż/miejsce parkingowe;2002;do zamieszkania;Pyry, Ursynów, Warszawa, mazowieckie
4055;1 349 000 zł;86,42 m²;3;4/7;800 zł;balkon;garaż/miejsce parkingowe;2007;do zamieszkania;ul. Nowoursynowska, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie
4056;1 721 600 zł;64 m²;3;5/6;;;garaż/miejsce parkingowe;1956;do zamieszkania;"al. Aleja ""Solidarności"", Śródmieście Północne, Śródmieście, Warszawa, mazowieckie"
4057;1 000 000 zł;37 m²;1;6/27;600 zł;balkon;;2020;do zamieszkania;ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie
4058;1 950 000 zł;71 m²;2;2/10;1 300 zł;balkon;garaż/miejsce parkingowe;2009;;ul. Sułkowicka, Sielce, Mokotów, Warszawa, mazowieckie
4059;939 000 zł;66,5 m²;3;1/3;850 zł;balkon;garaż/miejsce parkingowe;2007;do zamieszkania;ul. Świderska 113a, Tarchomin, Białołęka, Warszawa, mazowieckie
4060;480 000 zł;37 m²;2;2/6;;;;2001;do remontu;ul. Myśliborska, Tarchomin, Białołęka, Warszawa, mazowieckie
4061;1 230 000 zł;62,24 m²;3;3/3;900 zł;balkon, taras;garaż/miejsce parkingowe;2017;do zamieszkania;Grupy AK Krybar, Siekierki, Mokotów, Warszawa, mazowieckie
4062;754 000 zł;29 m²;1;3/27;;balkon;garaż/miejsce parkingowe;2022;do zamieszkania;ul. Grzybowska 49, Mirów, Wola, Warszawa, mazowieckie
4063;1 300 000 zł;65,47 m²;3;3/6;;taras;garaż/miejsce parkingowe;2018;do zamieszkania;ul. Międzyborska, Gocław, Praga-Południe, Warszawa, mazowieckie
4064;1 125 000 zł;66,25 m²;3;4/4;743 zł;balkon;garaż/miejsce parkingowe;2018;;ul. Rakowska, Raków, Włochy, Warszawa, mazowieckie
4065;2 230 000 zł;81,7 m²;3;5/5;1 713,72 zł;balkon;garaż/miejsce parkingowe;2008;;ul. Giordana Bruna, Stary Mokotów, Mokotów, Warszawa, mazowieckie
4066;970 000 zł;66,97 m²;3;parter/3;970 zł;ogródek;;1984;do zamieszkania;Natolin, Ursynów, Warszawa, mazowieckie
4067;Zapytaj o cenę;126,55 m²;4;1/2;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie
4068;Zapytaj o cenę;66,31 m²;4;2/3;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul.Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie
4069;1 735 000 zł;71,63 m²;3;5/5;;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;ul. Kaliny Jędrusik, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
4070;1 600 000 zł;67,64 m²;3;2/6;1 050 zł;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Obozowa 20, Wola Libre, Młynów, Wola, Warszawa, mazowieckie
4071;395 000 zł;20 m²;1;1/7;;;;brak informacji;;Grochów Bliska 17, Kamionek, Praga-Południe, Warszawa, mazowieckie
4072;Zapytaj o cenę;97,08 m²;5;6/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie
4073;850 000 zł;37,42 m²;1;2/4;715 zł;;;1947;do remontu;al. Aleje Ujazdowskie, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
4074;523 000 zł;27 m²;1;parter/4;460 zł;;;1970;do zamieszkania;ul. Stefana Baleya, Rakowiec, Ochota, Warszawa, mazowieckie
4075;698 000 zł;42,86 m²;2;1/4;650 zł;balkon;;1963;do zamieszkania;ul. Trzech Budrysów, Grochów, Praga-Południe, Warszawa, mazowieckie
4076;1 723 000 zł;101,4 m²;5;1/8;1 250 zł;balkon;garaż/miejsce parkingowe;2008;;ul. Banderii, Młynów, Wola, Warszawa, mazowieckie
4077;900 000 zł;90 m²;3;1/2;;balkon;garaż/miejsce parkingowe;2023;;ul. Zapiecek, Stara Miłosna, Wesoła, Warszawa, mazowieckie
4078;600 000 zł;29,89 m²;1;3/4;380 zł;balkon, ogródek;;1964;do remontu;ul. Chełmska, Sielce, Mokotów, Warszawa, mazowieckie
4079;1 400 000 zł;92,19 m²;4;parter/2;;ogródek;garaż/miejsce parkingowe;brak informacji;do wykończenia;Międzylesie, Wawer, Warszawa, mazowieckie
4080;780 000 zł;42 m²;2;parter/5;600 zł;;;brak informacji;do zamieszkania;Nowa Praga, Praga-Północ, Warszawa, mazowieckie
4081;549 000 zł;34,7 m²;2;9/12;670 zł;;garaż/miejsce parkingowe;1975;;ul. Marii Dąbrowskiej, Chomiczówka, Bielany, Warszawa, mazowieckie
4082;999 000 zł;114,05 m²;5;parter/2;;ogródek;garaż/miejsce parkingowe;2025;do wykończenia;ul. Czeremchowa, Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie
4083;2 199 000 zł;108,48 m²;5;3/3;;balkon, taras;garaż/miejsce parkingowe;2022;do wykończenia;ul. Kruszyńska 40A, Górce, Bemowo, Warszawa, mazowieckie
4084;Zapytaj o cenę;77,38 m²;4;1/2;;ogródek;garaż/miejsce parkingowe;2025;do wykończenia;ul. Kuligowska, Nadwiśle, Wawer, Warszawa, mazowieckie
4085;4 300 000 zł;240 m²;7;2/9;;balkon, taras;garaż/miejsce parkingowe;2021;;ul. Sułkowicka, Sielce, Mokotów, Warszawa, mazowieckie
4086;2 975 000 zł;135 m²;3;3/5;;balkon;garaż/miejsce parkingowe;1998;do zamieszkania;ul. Bielawska, Wierzbno, Mokotów, Warszawa, mazowieckie
4087;3 290 000 zł;135 m²;4;3/3;;taras;garaż/miejsce parkingowe;2020;;ul. Argentyńska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie
4088;3 500 000 zł;103,59 m²;3;4/4;;balkon, taras;garaż/miejsce parkingowe;brak informacji;;Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4089;5 900 000 zł;224 m²;6;2/2;;balkon, taras;garaż/miejsce parkingowe;2015;do zamieszkania;ul. Potoki, Stegny, Mokotów, Warszawa, mazowieckie
4090;1 130 000 zł;47,4 m²;2;2/3;600 zł;;;1950;do zamieszkania;ul. Ożarowska, Koło, Wola, Warszawa, mazowieckie
4091;720 000 zł;37,9 m²;2;parter/16;632 zł;;;1968;do zamieszkania;ul. Stefana Batorego, Stary Mokotów, Mokotów, Warszawa, mazowieckie
4092;600 000 zł;37,6 m²;2;10;840 zł;;;1972;do remontu;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
4093;900 000 zł;38,81 m²;2;1/4;;;;1905;do zamieszkania;Stara Praga, Praga-Północ, Warszawa, mazowieckie
4094;999 000 zł;50 m²;2;6/8;800 zł;balkon;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Konstruktorska, Służewiec, Mokotów, Warszawa, mazowieckie
4095;928 900 zł;64 m²;3;2/2;350 zł;balkon;garaż/miejsce parkingowe;2021;do zamieszkania;Wawer, Wawer, Warszawa, mazowieckie
4096;515 000 zł;33,11 m²;2;1/2;430 zł;;garaż/miejsce parkingowe;2022;do zamieszkania;ul. Brzeziny, Brzeziny, Białołęka, Warszawa, mazowieckie
4097;690 000 zł;45,7 m²;2;3/7;;balkon;;1964;do remontu;ul. Walentego Skorochód-Majewskiego, Rakowiec, Ochota, Warszawa, mazowieckie
4098;870 000 zł;56 m²;3;parter/10;;balkon, ogródek;;brak informacji;do zamieszkania;ul. Portofino, Stegny, Mokotów, Warszawa, mazowieckie
4099;2 280 000 zł;96 m²;3;2/3;;;;brak informacji;do zamieszkania;ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie
4100;1 275 000 zł;79 m²;3;1/3;;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;Elsnerów, Targówek, Warszawa, mazowieckie
4101;1 580 000 zł;93,4 m²;4;parter/2;290 zł;ogródek, taras;garaż/miejsce parkingowe;2000;do zamieszkania;ul. Arkadowa, Stary Służew, Ursynów, Warszawa, mazowieckie
4102;932 000 zł;49 m²;2;10/10;500 zł;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;ul. Obrzeżna, Służew, Mokotów, Warszawa, mazowieckie
4103;836 600 zł;47 m²;2;4/4;870 zł;;;1975;do zamieszkania;ul. Etiudy Rewolucyjnej, Wyględów, Mokotów, Warszawa, mazowieckie
4104;1 050 000 zł;66,3 m²;3;9/11;943 zł;balkon;garaż/miejsce parkingowe;1990;do zamieszkania;ul. Jana Blatona 3, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie
4105;720 000 zł;40,81 m²;2;1/7;200 zł;balkon;;2024;do wykończenia;ul. Jagiellońska 55, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
4106;825 000 zł;104 m²;4;parter/1;;ogródek, taras;garaż/miejsce parkingowe;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
4107;545 000 zł;38,37 m²;2;3/4;310 zł;;;2002;do zamieszkania;ul. Świderska, Tarchomin, Białołęka, Warszawa, mazowieckie
4108;735 000 zł;47,5 m²;3;8/10;800 zł;;;1966;do zamieszkania;ul. Gotarda, Służew, Mokotów, Warszawa, mazowieckie
4109;499 000 zł;28,37 m²;1;2/4;400 zł;;;2019;do zamieszkania;ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie
4110;940 000 zł;53 m²;2;2/5;750 zł;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie
4111;810 000 zł;60 m²;3;3/3;1 000 zł;balkon;;1976;do zamieszkania;ul. Lajosa Kossutha, Jelonki Północne, Bemowo, Warszawa, mazowieckie
4112;850 000 zł;63,4 m²;3;3/3;579 zł;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Magiczna, Grodzisk, Białołęka, Warszawa, mazowieckie
4113;599 000 zł;37 m²;2;4/4;700 zł;;;1964;do remontu;ul. Podleśna, Marymont-Kaskada, Bielany, Warszawa, mazowieckie
4114;1 180 000 zł;52 m²;2;1/4;900 zł;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4115;720 000 zł;53,5 m²;3;8/10;760 zł;balkon;;1975;do zamieszkania;ul. Michała Kleofasa Ogińskiego 1, Bródno, Targówek, Warszawa, mazowieckie
4116;789 000 zł;56,5 m²;3;2/10;850 zł;;;1970;;ul. Markowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
4117;799 000 zł;53,1 m²;2;3/6;457,52 zł;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;ul. Ryżowa 44, Skorosze, Ursus, Warszawa, mazowieckie
4118;1 190 000 zł;74 m²;3;3/3;1 200 zł;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;ul. Światowida 51, Nowodwory, Białołęka, Warszawa, mazowieckie
4119;850 000 zł;56,4 m²;3;1/4;;balkon;;brak informacji;do zamieszkania;ul. Komitetu Obrony Robotników 39b, Okęcie, Włochy, Warszawa, mazowieckie
4120;980 000 zł;51,7 m²;2;2/4;800 zł;balkon;garaż/miejsce parkingowe;2007;do remontu;Olimpia 2, Stary Imielin, Ursynów, Warszawa, mazowieckie
4121;760 000 zł;46,2 m²;2;2/4;650 zł;balkon;garaż/miejsce parkingowe;1991;do zamieszkania;Gocław, Praga-Południe, Warszawa, mazowieckie
4122;2 350 000 zł;97 m²;4;parter/4;1 000 zł;ogródek;garaż/miejsce parkingowe;2024;do wykończenia;Holzera, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4123;550 000 zł;34 m²;1;parter/10;422 zł;balkon, ogródek;;brak informacji;do remontu;ul. Aleksandra Gajkowicza, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie
4124;587 500 zł;33,78 m²;1;1/7;370 zł;balkon;;2023;do zamieszkania;ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie
4125;575 000 zł;32,8 m²;2;1/10;600 zł;balkon;;1979;do remontu;ul. Stokłosy, Ursynów Północny, Ursynów, Warszawa, mazowieckie
4126;1 720 000 zł;52 m²;3;4/7;464 zł;balkon;;1961;do zamieszkania;ul. Marszałkowska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
4127;1 190 000 zł;69,8 m²;3;1/2;;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;ul. Zaściankowa, Zawady, Wilanów, Warszawa, mazowieckie
4128;885 000 zł;37,5 m²;2;parter/3;470 zł;;;1960;do zamieszkania;ul. Sapieżyńska, Nowe Miasto, Śródmieście, Warszawa, mazowieckie
4129;1 054 000 zł;61,81 m²;3;parter/5;1 122 zł;balkon;garaż/miejsce parkingowe;2004;do zamieszkania;ul. Stefana Dembego 8, Kabaty, Ursynów, Warszawa, mazowieckie
4130;700 000 zł;37,2 m²;1;7/8;700 zł;;;1956;do zamieszkania;ul. gen. Władysława Andersa, Muranów, Śródmieście, Warszawa, mazowieckie
4132;1 800 000 zł;76,6 m²;3;2;1 100 zł;balkon;;2014;do zamieszkania;Tolkiena (poprzednio Konstruktorska), Służewiec, Mokotów, Warszawa, mazowieckie
4133;599 000 zł;27,37 m²;1;2/3;543,94 zł;;;1950;do zamieszkania;ul. Elektoralna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
4134;749 000 zł;38,3 m²;2;1/6;;balkon;garaż/miejsce parkingowe;2021;do zamieszkania;ul. Powstańców Śląskich, Fort Bema, Bemowo, Warszawa, mazowieckie
4135;899 000 zł;54,3 m²;2;parter/4;800 zł;ogródek, taras;garaż/miejsce parkingowe;2010;do zamieszkania;ul. Uznamska, Zacisze, Targówek, Warszawa, mazowieckie
4136;800 000 zł;47,34 m²;3;2;;;;brak informacji;;ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie
4137;800 000 zł;51,7 m²;2;2/7;500 zł;balkon;;brak informacji;do remontu;ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie
4138;642 000 zł;38 m²;2;4/4;680 zł;balkon;;1976;do zamieszkania;ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie
4139;845 000 zł;39 m²;1;4/5;830 zł;;;1952;do zamieszkania;Młynów, Wola, Warszawa, mazowieckie
4140;639 000 zł;38,2 m²;2;parter/3;800 zł;ogródek;garaż/miejsce parkingowe;2022;do zamieszkania;ul. Dzieci Warszawy, Skorosze, Ursus, Warszawa, mazowieckie
4141;1 175 000 zł;51,32 m²;2;1;600 zł;balkon;garaż/miejsce parkingowe;brak informacji;;ul. Zajęcza, Powiśle, Śródmieście, Warszawa, mazowieckie
4142;930 000 zł;49,5 m²;2;4/4;700 zł;;;1956;do zamieszkania;ul. Puławska, Ksawerów, Mokotów, Warszawa, mazowieckie
4143;633 000 zł;30 m²;2;9/10;;balkon;garaż/miejsce parkingowe;1973;do zamieszkania;Metro Bródno, Bródno, Targówek, Warszawa, mazowieckie
4144;1 027 000 zł;60,42 m²;3;5/6;800 zł;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Górce, Bemowo, Warszawa, mazowieckie
4145;Zapytaj o cenę;44,98 m²;2;4/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;al. Aleje Jerozolimskie, Raków, Włochy, Warszawa, mazowieckie
4146;395 000 zł;20 m²;1;1/7;;;;brak informacji;;Grochów Bliska 17, Kamionek, Praga-Południe, Warszawa, mazowieckie
4147;529 000 zł;36,5 m²;2;8/10;550 zł;;;1968;do remontu;ul. Szegedyńska, Wrzeciono, Bielany, Warszawa, mazowieckie
4149;2 485 000 zł;108 m²;3;10/12;1 200 zł;taras;garaż/miejsce parkingowe;2003;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
4150;799 000 zł;42 m²;2;3/4;750 zł;balkon;;1978;do remontu;ul. Wiolinowa, Ursynów Północny, Ursynów, Warszawa, mazowieckie
4151;3 200 000 zł;148 m²;5;2/2;1 700 zł;;garaż/miejsce parkingowe;2018;do zamieszkania;ul. Żegiestowska, Sadyba, Mokotów, Warszawa, mazowieckie
4152;2 399 000 zł;97 m²;3;4/4;;taras, balkon;garaż/miejsce parkingowe;2010;do zamieszkania;ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4153;850 000 zł;58,84 m²;3;4/5;;balkon;garaż/miejsce parkingowe;2024;do wykończenia;ul. Instalatorów 7, Raków, Włochy, Warszawa, mazowieckie
4154;Zapytaj o cenę;54,45 m²;3;1/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie
4155;Zapytaj o cenę;51,27 m²;3;2/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie
4156;Zapytaj o cenę;65,19 m²;3;4/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Goździków, Marysin Wawerski, Wawer, Warszawa, mazowieckie
4157;1 320 000 zł;88 m²;3;2/4;1 300 zł;balkon;;1938;do zamieszkania;ul. Ząbkowska, Stara Praga, Praga-Północ, Warszawa, mazowieckie
4158;1 150 000 zł;52,45 m²;2;1/8;760 zł;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;ul. Sokratesa 13, Wawrzyszew, Bielany, Warszawa, mazowieckie
4159;550 000 zł;20,87 m²;1;parter/10;498 zł;;garaż/miejsce parkingowe;1964;do wykończenia;ul. Złota, Mirów, Wola, Warszawa, mazowieckie
4160;510 000 zł;28,52 m²;2;1/2;;balkon;garaż/miejsce parkingowe;2019;do zamieszkania;Białołęka Dworska, Białołęka, Warszawa, mazowieckie
4161;815 000 zł;53,47 m²;2;2/3;;balkon;;brak informacji;do zamieszkania;ul. gen. Sylwestra Kaliskiego, Fort Radiowo, Bemowo, Warszawa, mazowieckie
4162;760 500 zł;50,7 m²;3;9/10;860 zł;balkon;;1970;;ul. Antoniego Czechowa 2, Wawrzyszew, Bielany, Warszawa, mazowieckie
4163;1 890 000 zł;93,4 m²;4;4/10;1 800 zł;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;ul. Pory, Stegny, Mokotów, Warszawa, mazowieckie
4164;2 530 000 zł;117 m²;4;2/2;700 zł;taras, ogródek;garaż/miejsce parkingowe;2004;do zamieszkania;ul. Syta, Zawady, Wilanów, Warszawa, mazowieckie
4165;2 250 000 zł;97 m²;3;1;;taras, balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4166;512 000 zł;25,7 m²;1;4/4;430 zł;;;1970;do zamieszkania;Stare Bielany, Bielany, Warszawa, mazowieckie
4167;1 203 811 zł;36,59 m²;2;parter/6;644 zł;;garaż/miejsce parkingowe;2020;do zamieszkania;ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie
4168;930 000 zł;60,7 m²;2;parter/6;800 zł;taras;;2005;do zamieszkania;ul. Samarytanka, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie
4169;790 000 zł;52,4 m²;2;2/8;837 zł;balkon;;1987;do zamieszkania;ul. Kazubów, Górce, Bemowo, Warszawa, mazowieckie
4170;640 000 zł;38 m²;2;2/4;600 zł;balkon;;1970;do zamieszkania;ul. Antoniego Magiera, Słodowiec, Bielany, Warszawa, mazowieckie
4171;1 199 000 zł;58 m²;3;2/7;600 zł;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Odolany, Wola, Warszawa, mazowieckie
4172;720 000 zł;59,19 m²;4;parter/2;600 zł;ogródek, taras;garaż/miejsce parkingowe;brak informacji;;Białołęka Dworska, Białołęka, Warszawa, mazowieckie
4173;1 056 000 zł;32 m²;1;2/4;600 zł;;;1925;do zamieszkania;ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
4174;2 376 000 zł;72 m²;3;2/4;900 zł;balkon;;192;do zamieszkania;ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
4175;3 200 000 zł;262 m²;8;parter/1;600 zł;ogródek, taras;;2021;do zamieszkania;ul. Cymbalistów, Jeziorki Południowe, Ursynów, Warszawa, mazowieckie
4176;1 199 000 zł;71 m²;3;1/3;;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie
4177;2 500 000 zł;92 m²;3;7/7;;balkon, taras;garaż/miejsce parkingowe;2023;do wykończenia;ul. Józefa Sowińskiego, Ulrychów, Wola, Warszawa, mazowieckie
4178;439 000 zł;24,5 m²;1;3/4;;;;1975;do remontu;ul. Chodecka, Bródno, Targówek, Warszawa, mazowieckie
4179;Zapytaj o cenę;79,82 m²;4;1/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Narożna, Raków, Włochy, Warszawa, mazowieckie
4180;Zapytaj o cenę;39,45 m²;2;parter/6;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie
4181;1 558 000 zł;82 m²;3;3/11;1 400 zł;balkon;garaż/miejsce parkingowe;1999;do zamieszkania;al. Aleja Jana Pawła II, Nowolipki, Wola, Warszawa, mazowieckie
4182;649 000 zł;37,2 m²;2;2/4;;;;1971;do remontu;ul. Leżajska, Okęcie, Włochy, Warszawa, mazowieckie
4183;750 000 zł;54,5 m²;4;3/4;1 010 zł;balkon;;1970;do remontu;ul. Chodecka, Bródno, Targówek, Warszawa, mazowieckie
4184;1 500 000 zł;50,79 m²;3;3/5;950 zł;;;1932;do zamieszkania;ul. Hanki Czaki, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie
4185;1 099 000 zł;66,2 m²;4;3/3;1 000 zł;balkon;;1986;do remontu;ul. Korczyńska, Sadyba, Mokotów, Warszawa, mazowieckie
4186;727 000 zł;40 m²;2;1/2;;;garaż/miejsce parkingowe;1936;do zamieszkania;ul. Radiowa, Fort Radiowo, Bemowo, Warszawa, mazowieckie
4187;960 000 zł;63,4 m²;3;10/10;;balkon;garaż/miejsce parkingowe;1986;do zamieszkania;ul. Meander, Natolin, Ursynów, Warszawa, mazowieckie
4188;900 000 zł;64 m²;3;> 10/12;1 100 zł;balkon;;1975;do remontu;ul. Kuflewska, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie
4189;865 000 zł;62,34 m²;3;3/8;700 zł;;garaż/miejsce parkingowe;2023;do wykończenia;ul. Kościeszów, Tarchomin, Białołęka, Warszawa, mazowieckie
4190;719 000 zł;73 m²;4;4/4;;;garaż/miejsce parkingowe;1986;do remontu;"al. Aleja gen. Antoniego Chruściela ""Montera"", Stary Rembertów, Rembertów, Warszawa, mazowieckie"
4191;999 000 zł;48 m²;2;4/7;850 zł;balkon;;1960;;ul. Krucza, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
